Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,gest_time,54.0,0.54000000000000004
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,comp_merit,71.0,0.70999999999999996
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,merit,72.0,0.71999999999999997
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,fitness,80.0,0.80000000000000004
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,efficiency,57.0,0.56999999999999995
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2083,100,1.1864568448483321e+25,0.0,viable,8.0,0.080000000000000002
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,Task Count,87.0,0.61702127659574468
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,gest_time,64.0,0.45390070921985815
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,comp_merit,87.0,0.61702127659574468
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,merit,90.0,0.63829787234042556
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,fitness,105.0,0.74468085106382975
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,efficiency,67.0,0.47517730496453903
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2087,141,1.1900364372414421e+25,0.0,viable,21.0,0.14893617021276595
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,Task Count,69.0,0.68999999999999995
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,gest_time,70.0,0.69999999999999996
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,comp_merit,69.0,0.68999999999999995
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,merit,69.0,0.68999999999999995
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,fitness,82.0,0.81999999999999995
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,efficiency,71.0,0.70999999999999996
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2099,100,3.3748069921095356e+25,0.0,viable,15.0,0.14999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,Task Count,52.0,0.52000000000000002
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,gest_time,54.0,0.54000000000000004
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,comp_merit,52.0,0.52000000000000002
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,merit,53.0,0.53000000000000003
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,fitness,70.0,0.69999999999999996
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,efficiency,58.0,0.57999999999999996
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2093,100,1.1301312217658999e+25,0.0,viable,11.0,0.11
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,100,1.4122870551880007e+25,0.0,Task Count,42.0,0.41999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,100,1.4122870551880007e+25,0.0,gest_time,60.0,0.59999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,100,1.4122870551880007e+25,0.0,comp_merit,42.0,0.41999999999999998
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,100,1.4122870551880007e+25,0.0,merit,43.0,0.42999999999999999
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2072,100,1.4122870551880007e+25,0.0,fitness,77.0,0.77000000000000002
